Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1970,51.025,52.67586206896552,57.009375,62.07419354838709,74.796875,80.88387096774194,83.184375,76.9375,71.26774193548388,66.04375,54.487096774193546,51.978125
1971,47.55,56.93448275862069,63.403225806451616,63.645161290322584,72.0625,84.16129032258064,79.421875,77.021875,73.8967741935484,70.425,58.622580645161285,56.628125
1972,48.19375,48.62,55.84375,68.58064516129032,79.821875,87.48709677419355,82.978125,82.5,80.28709677419356,71.471875,65.78709677419356,55.05625
1973,55.440625,66.21724137931034,66.70625,72.12903225806451,77.79375,79.65806451612903,82.884375,76.2875,69.69999999999999,70.821875,58.980645161290326,53.959375
1974,55.69375,60.96551724137931,61.4,68.93225806451613,80.0375,86.2290322580645,84.53125,75.890625,74.05483870967741,69.471875,60.67741935483871,56.49375
1975,60.425,63.01724137931034,70.79375,74.29032258064517,75.853125,78.63225806451612,80.15,79.21875,72.7741935483871,61.909375,63.935483870967744,50.28125
1976,55.59375,60.14333333333333,61.584375,66.65483870967742,77.09375,81.47741935483872,79.8625,79.5875,70.38064516129033,71.60625,55.274193548387096,50.690625
1977,53.740625,52.5103448275862,62.16875,63.78709677419355,73.203125,79.10645161290323,82.278125,78.43125,69.32333333333332,67.653125,57.645161290322584,63.84375
1978,61.890625,58.734482758620686,58.425,67.43225806451613,68.809375,81.96774193548387,83.859375,75.059375,71.68064516129031,61.546875,61.63225806451613,59.728125
1979,55.290625,55.07241379310344,62.55,69.34516129032258,73.4125,73.48709677419355,72.4375,78.8125,73.71935483870968,58.79375,64.2258064516129,63.940625
1980,54.665625,60.17333333333333,58.5625,73.71612903225805,84.49375,80.41935483870968,81.2,76.0,69.71935483870968,67.83125,62.04516129032258,57.4
1981,57.18125,59.148275862068964,63.096875,63.15806451612904,78.859375,79.84516129032258,79.115625,73.484375,62.15483870967742,64.321875,51.24516129032258,45.6125
1982,50.21875,53.62068965517241,58.946875,70.6258064516129,77.653125,86.83225806451614,83.23125,78.0375,73.78064516129032,62.56875,53.667741935483875,50.078125
1983,53.325,49.02758620689655,59.15625,65.15483870967742,73.99375,80.10645161290323,77.696875,76.325,67.70322580645161,57.703125,54.07419354838709,54.334375
1984,44.340625,44.57333333333334,56.246875,53.016129032258064,72.746875,78.8741935483871,78.515625,73.684375,69.74193548387096,60.971875,59.70322580645161,53.643750000000004
