Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1920,34.0,33.0,32.7,28.8,28.8,22.8,21.7,23.5,30.0,28.0,32.2,32.4
1921,34.5,32.3,33.0,28.2,24.5,22.3,25.4,27.5,26.5,29.0,34.0,33.3
1922,33.0,32.0,31.2,30.0,27.5,20.9,22.7,24.5,27.0,26.5,31.1,32.0
1923,33.3,32.0,30.6,29.2,27.4,26.5,22.3,21.7,25.2,26.0,31.2,32.2
1924,33.0,31.7,32.3,30.0,26.2,22.7,26.8,29.2,30.9,31.7,31.8,33.7
1925,34.5,32.0,31.4,28.0,26.2,23.8,22.4,27.2,25.4,30.0,32.4,33.3
1926,33.8,34.9,31.3,30.6,26.6,18.5,21.3,25.9,24.1,29.0,30.5,32.0
1927,33.0,32.5,31.0,28.8,27.6,23.5,23.8,26.7,23.7,29.0,32.2,32.4
1928,31.4,33.0,31.4,29.4,26.7,22.5,26.0,23.8,26.2,31.8,31.4,32.5
1929,34.0,32.2,31.8,29.7,28.0,23.5,24.0,21.7,24.7,26.2,30.7,31.1
1930,32.4,32.0,32.0,29.0,24.0,20.7,20.7,21.8,28.0,28.5,31.8,32.6
1931,32.8,33.2,31.5,27.0,26.3,22.5,21.6,24.0,24.5,31.5,33.5,33.6
1932,34.2,33.6,30.4,27.5,28.5,22.3,22.6,23.8,24.7,28.4,32.6,30.8
1933,31.7,31.3,29.1,28.4,24.1,21.1,20.0,24.0,26.9,29.4,30.9,32.5
1934,34.0,30.7,30.4,28.2,26.2,17.2,22.0,25.4,27.3,28.2,28.5,32.1
1935,33.7,30.0,29.6,27.7,26.0,19.4,20.5,25.3,24.7,30.7,30.1,33.5
1936,32.8,32.7,29.8,28.4,21.5,19.4,21.3,24.2,25.7,32.5,31.6,32.2
1937,34.9,34.0,33.0,30.2,26.0,22.0,22.8,24.5,28.0,29.1,29.5,32.0
1938,32.0,32.8,29.2,29.2,27.0,21.0,20.6,22.5,28.5,29.5,30.6,33.5
1939,32.6,32.3,31.0,30.0,27.4,24.6,22.5,24.4,31.0,27.4,30.7,32.5
1940,33.1,31.7,31.0,29.9,24.6,23.7,24.1,26.8,26.6,28.8,29.3,33.5
1941,33.5,30.6,29.6,30.6,22.0,21.4,22.7,23.0,25.5,33.3,30.0,33.5
1942,33.5,32.5,32.0,28.2,25.1,20.6,20.5,23.5,24.8,28.0,31.4,32.0
1943,34.0,33.2,30.6,29.2,25.0,18.2,21.5,22.5,27.7,28.6,31.7,32.5
1944,32.3,33.2,31.3,30.0,22.2,23.7,21.5,23.5,28.5,28.0,32.2,33.0
1945,34.0,30.0,30.7,29.6,26.5,24.8,20.6,26.0,28.5,31.1,31.5,35.4
1946,33.5,32.2,31.3,28.8,31.5,23.3,22.9,25.4,26.1,29.0,32.3,33.6
1947,34.3,32.2,31.6,29.4,24.9,19.8,22.4,24.8,25.5,30.0,30.2,33.6
1948,34.5,33.1,31.7,28.6,25.2,25.9,20.3,24.7,30.2,30.4,31.7,35.2
1949,33.7,33.5,31.4,31.0,25.0,19.0,22.0,24.0,27.5,32.4,31.3,33.2
1920,34.0,33.0,32.7,28.8,28.8,22.8,21.7,23.5,30.0,28.0,32.2,32.4
1921,34.5,32.3,33.0,28.2,24.5,22.3,25.4,27.5,26.5,29.0,34.0,33.3
1922,33.0,32.0,31.2,30.0,27.5,20.9,22.7,24.5,27.0,26.5,31.1,32.0
1923,33.3,32.0,30.6,29.2,27.4,26.5,22.3,21.7,25.2,26.0,31.2,32.2
1924,33.0,31.7,32.3,30.0,26.2,22.7,26.8,29.2,30.9,31.7,31.8,33.7
1925,34.5,32.0,31.4,28.0,26.2,23.8,22.4,27.2,25.4,30.0,32.4,33.3
1926,33.8,34.9,31.3,30.6,26.6,18.5,21.3,25.9,24.1,29.0,30.5,32.0
1927,33.0,32.5,31.0,28.8,27.6,23.5,23.8,26.7,23.7,29.0,32.2,32.4
1928,31.4,33.0,31.4,29.4,26.7,22.5,26.0,23.8,26.2,31.8,31.4,32.5
1929,34.0,32.2,31.8,29.7,28.0,23.5,24.0,21.7,24.7,26.2,30.7,31.1
1930,32.4,32.0,32.0,29.0,24.0,20.7,20.7,21.8,28.0,28.5,31.8,32.6
