Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2006,,10,8,5,3,2.0,2,4,5,7,10,12.0
2007,11.0,10,7,4,2,2.0,2,3,5,7,10,11.0
2008,11.0,10,7,4,3,2.0,2,3,5,7,10,11.0
2009,11.0,10,8,5,3,2.0,2,3,5,7,9,11.0
2010,10.0,10,7,4,3,2.0,2,3,5,7,10,13.0
2011,13.0,12,9,6,3,3.0,3,4,7,9,11,12.0
2012,13.0,11,8,5,3,2.0,3,3,5,8,12,13.0
2013,13.0,13,9,6,4,3.0,3,4,7,9,12,13.0
2014,12.0,11,8,5,4,3.0,3,4,5,8,10,12.0
2015,12.0,10,8,5,6,4.0,3,4,6,8,10,12.0
2016,11.0,11,8,5,3,3.0,3,4,7,8,11,12.0
2017,11.0,10,8,5,3,2.0,3,4,5,8,9,12.0
2018,11.0,11,9,6,3,3.0,3,4,5,8,11,12.0
2019,12.0,11,8,5,4,3.0,3,4,7,8,11,12.0
2020,12.0,11,9,6,4,3.0,3,4,6,9,11,12.0
2021,12.0,11,9,6,4,3.0,3,4,6,9,11,13.0
2022,13.0,11,9,6,4,3.0,3,4,6,9,11,12.0
2023,12.0,11,9,6,4,3.0,3,4,5,8,10,12.0
2024,13.0,11,9,6,3,2.0,3,4,6,9,10,12.0
2025,13.0,12,9,5,4,3.0,3,4,6,8,10,12.0
