Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2006,,7,6,2,1,1.0,1,1,2,1,7,9.0
2007,7.0,4,2,1,1,1.0,1,1,1,4,6,9.0
2008,10.0,8,6,1,1,1.0,1,1,2,3,1,10.0
2009,9.0,3,5,3,1,1.0,1,1,1,3,5,11.0
2010,2.0,7,6,2,2,1.0,1,1,2,4,1,11.0
2011,11.0,10,3,2,1,1.0,2,1,4,6,5,6.0
2012,12.0,10,1,3,1,1.0,1,2,2,2,7,1.0
2013,5.0,11,6,4,1,1.0,1,1,2,5,3,11.0
2014,9.0,9,7,2,1,1.0,1,2,1,2,2,5.0
2015,11.0,8,5,3,3,3.0,1,1,2,1,3,8.0
2016,4.0,9,3,2,1,1.0,1,2,3,6,8,3.0
2017,7.0,8,2,2,1,1.0,1,1,2,3,1,10.0
2018,7.0,10,7,4,1,1.0,1,2,1,3,4,8.0
2019,4.0,9,4,2,1,1.0,1,2,3,5,9,9.0
2020,8.0,9,7,3,1,1.0,1,3,2,4,8,9.0
2021,5.0,8,5,2,1,1.0,1,1,3,6,10,11.0
2022,12.0,10,7,4,2,1.0,1,1,3,4,7,8.0
2023,7.0,9,8,3,1,1.0,1,1,2,3,4,4.0
2024,12.0,6,6,3,1,1.0,1,1,3,4,5,10.0
2025,12.0,11,2,1,1,1.0,1,1,2,4,6,10.0
