Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1970,953.940625,953.2034482758621,953.771875,954.2516129032258,956.65625,958.4354838709677,958.040625,958.46875,956.2870967741936,955.5,955.6806451612903,953.390625
1971,953.46875,953.2379310344828,954.4935483870968,955.8193548387097,956.740625,957.6548387096774,957.175,958.678125,957.2838709677419,956.028125,954.832258064516,952.821875
1972,952.040625,952.8266666666666,953.76875,954.9548387096773,955.559375,955.5612903225807,956.7375,956.465625,955.7774193548387,956.68125,955.3483870967742,953.7875
1973,952.65625,953.8655172413793,954.05,955.1387096774193,956.378125,958.3580645161289,957.871875,959.20625,958.1129032258065,956.646875,955.0225806451613,955.5125
1974,953.571875,953.2068965517242,954.915625,954.7032258064515,956.7,957.2032258064515,958.528125,957.321875,957.6032258064516,955.90625,954.7677419354839,953.740625
1975,952.728125,954.3000000000001,954.253125,955.3064516129032,956.175,956.5967741935484,958.425,958.703125,957.7258064516129,956.378125,955.6935483870968,953.84375
1976,952.665625,953.8966666666668,953.13125,954.8967741935484,955.8,957.4322580645161,956.746875,957.696875,956.183870967742,955.6875,953.9387096774193,952.30625
1977,952.315625,953.1724137931035,951.98125,955.2129032258064,956.328125,956.8032258064517,956.521875,957.528125,956.7838709677419,955.965625,955.1419354838711,953.434375
1978,954.40625,953.2586206896551,955.05625,955.2290322580644,956.39375,956.8870967741935,956.378125,958.18125,957.258064516129,955.7625,953.8483870967742,953.821875
1979,953.196875,953.6827586206896,954.278125,954.6322580645161,957.009375,958.2806451612903,956.81875,957.61875,958.6193548387097,956.2625,954.5870967741936,953.784375
1980,952.95625,953.7933333333333,952.46875,954.1709677419354,956.50625,957.4225806451612,957.265625,957.85625,956.8419354838709,956.578125,955.1096774193549,953.81875
1981,954.4375,952.3206896551724,954.5,954.925806451613,955.765625,957.7903225806451,958.115625,956.978125,957.6064516129032,956.009375,954.6322580645161,953.4375
1982,953.734375,953.6310344827587,953.809375,955.5290322580646,955.728125,956.6354838709677,956.084375,955.89375,955.8677419354839,955.946875,953.9612903225806,952.546875
1983,951.8875,952.4206896551724,953.14375,953.8838709677419,954.759375,957.1032258064516,956.559375,957.33125,958.2774193548387,955.525,955.0258064516129,954.296875
1984,953.521875,952.5,953.703125,955.4387096774193,956.534375,957.5870967741936,955.128125,957.81875,956.6193548387097,956.275,956.0032258064516,952.578125
1985,954.2375,952.8172413793104,952.890625,955.8967741935484,956.3125,956.1870967741935,957.66875,958.31875,955.5129032258066,954.853125,954.183870967742,953.621875
1986,952.96875,953.1103448275862,953.59375,953.8709677419355,955.140625,956.4354838709677,956.51875,955.365625,955.9967741935484,955.53125,953.4290322580645,952.31875
1987,951.996875,950.8517241379311,952.103125,953.6516129032258,955.109375,956.741935483871,953.290625,955.83125,956.7612903225806,954.871875,953.6741935483872,952.840625
1988,952.75625,951.7566666666667,953.5875,954.4451612903225,955.990625,957.0354838709677,957.753125,957.634375,956.9000000000001,955.4875,954.2451612903226,953.509375
1989,951.9,952.3896551724138,953.7625,953.558064516129,956.0875,956.683870967742,956.43125,957.646875,955.6193548387097,955.521875,953.5032258064516,954.078125
1990,951.328125,953.9103448275863,953.3125,954.2806451612903,956.21875,956.2709677419356,957.9875,956.040625,956.7612903225806,955.90625,953.2774193548387,952.978125
1991,953.14375,952.5241379310345,953.075,954.1451612903226,955.0375,956.1354838709677,957.64375,956.98125,956.0064516129032,955.10625,953.7903225806451,952.834375
1992,951.840625,952.8666666666667,952.240625,954.3064516129032,954.9,955.0387096774194,958.34375,956.6625,955.8903225806451,955.35,953.4774193548387,952.925
1993,953.10625,952.6862068965518,953.50625,954.0129032258066,956.271875,955.8645161290323,958.46875,958.215625,957.4032258064516,955.96875,955.4387096774193,953.30625
1994,953.059375,953.2689655172413,953.890625,955.0419354838709,955.946875,957.8870967741935,956.940625,957.98125,956.0419354838709,955.671875,955.1774193548387,953.20625
1995,953.321875,954.2172413793103,954.253125,954.3451612903226,956.4375,957.3258064516128,957.94375,957.8625,957.1612903225806,955.9,954.7806451612903,954.196875
1996,953.275,952.8533333333332,954.221875,955.7516129032258,957.025,957.1096774193549,957.503125,957.24375,956.6129032258065,955.9625,953.8677419354839,952.89375
1997,954.01875,952.3310344827586,953.16875,955.016129032258,954.6875,955.6451612903226,955.790625,956.225,956.0129032258066,956.0,955.1870967741935,952.940625
1998,951.61875,953.3413793103449,953.46875,955.0903225806452,956.603125,957.5064516129032,958.1625,958.3125,957.558064516129,954.878125,954.558064516129,953.871875
1999,953.43125,953.0827586206897,953.678125,955.2548387096774,956.49375,957.0677419354838,958.61875,957.653125,957.4709677419354,956.1875,955.2354838709678,954.528125
2000,953.484375,954.5966666666667,953.8125,955.1064516129032,956.36875,956.2161290322581,957.9875,956.8125,956.5774193548388,955.86875,954.6645161290322,953.446875
2001,953.878125,951.751724137931,953.65625,955.058064516129,956.63125,958.0612903225807,956.678125,957.21875,957.2548387096774,955.215625,955.4193548387096,952.371875
2002,953.46875,953.2448275862068,953.378125,955.3580645161289,954.371875,957.2774193548387,958.003125,956.703125,957.2,955.109375,954.8967741935484,954.196875
2003,953.496875,953.0689655172414,953.409375,955.3580645161289,955.559375,956.4064516129032,958.1625,958.365625,957.2258064516129,955.265625,953.8709677419355,954.146875
2004,953.83125,953.6566666666666,952.690625,955.8419354838709,956.375,957.3741935483871,956.89375,957.184375,956.5290322580646,956.5375,954.5999999999999,953.721875
2005,953.578125,952.5827586206897,954.95625,955.2903225806451,956.65,956.5258064516129,957.634375,956.71875,957.7516129032258,956.53125,954.4451612903225,953.7531250000001
